dt,sku_id,comments,good_comments,bad_comments
2018-03-15,340522,1,1,0
2018-03-18,340522,1,1,0
2018-04-13,340522,1,1,0
2018-02-07,340522,1,1,0
2018-02-23,340522,1,1,0
2018-02-19,340522,1,1,0
2018-02-25,340522,1,1,0
2018-02-04,88021,1,1,0
2018-02-14,88021,1,1,0
2018-02-02,88021,1,1,0
2018-03-06,88021,1,1,0
2018-02-17,88021,1,1,0
2018-03-22,88021,1,1,0
2018-03-01,88021,1,1,0
2018-02-05,165783,1,1,0
2018-04-06,165783,3,3,0
2018-04-08,165783,1,1,0
2018-04-14,165783,1,1,0
2018-04-10,165783,1,1,0
2018-02-06,165783,1,1,0
2018-02-09,165783,1,1,0
2018-02-08,105329,1,1,0
2018-04-07,105329,1,1,0
2018-03-30,105329,1,1,0
2018-04-01,105329,1,1,0
2018-03-31,105329,1,1,0
2018-04-15,105329,1,1,0
2018-04-03,105329,2,2,0
2018-04-10,105329,1,1,0
2018-04-02,105329,2,2,0
2018-02-05,56231,1,1,0
2018-02-09,56231,1,1,0
2018-02-25,56231,1,1,0
2018-02-16,56231,1,1,0
2018-03-09,327217,1,1,0
2018-03-28,327217,1,1,0
2018-04-13,327217,1,1,0
2018-04-03,327217,1,1,0
2018-04-12,327217,1,1,0
2018-03-13,327217,1,1,0
2018-02-06,48713,1,1,0
2018-03-15,48713,1,1,0
2018-02-03,48713,1,1,0
2018-03-07,48713,1,1,0
2018-02-02,48713,1,1,0
2018-02-11,48713,1,1,0
2018-02-08,48713,1,1,0
2018-03-05,48713,1,1,0
2018-03-11,48713,1,1,0
2018-02-05,48713,1,1,0
2018-02-21,48713,1,1,0
2018-02-09,48713,1,1,0
2018-02-01,48713,2,2,0
2018-04-14,48713,1,0,0
2018-02-14,48713,1,1,0
2018-02-07,48713,2,2,0
2018-03-21,48713,2,2,0
2018-04-03,48713,1,1,0
2018-02-19,48713,1,1,0
2018-03-04,48713,1,1,0
2018-02-13,364543,1,1,0
2018-02-07,364543,1,0,0
2018-02-10,364543,1,1,0
2018-02-01,364543,1,1,0
2018-02-20,364543,1,1,0
2018-02-16,364543,1,1,0
2018-03-31,364543,1,1,0
2018-02-15,364543,1,1,0
2018-02-25,364543,1,1,0
2018-04-12,364543,1,1,0
2018-03-30,169443,2,2,0
2018-04-08,169443,2,2,0
2018-03-01,169443,1,1,0
2018-04-12,169443,2,2,0
2018-03-21,169443,1,1,0
2018-04-07,169443,1,1,0
2018-03-10,169443,1,1,0
2018-02-10,169443,1,0,0
2018-02-07,169443,3,2,1
2018-02-02,169443,1,1,0
2018-03-13,169443,1,1,0
2018-03-27,169443,1,0,1
2018-03-20,169443,2,2,0
2018-02-05,169443,1,1,0
2018-03-23,169443,1,1,0
2018-02-25,169443,1,1,0
2018-03-24,169443,1,1,0
2018-02-03,169443,1,1,0
2018-02-09,169443,1,1,0
2018-03-14,169443,1,1,0
2018-03-08,169443,1,1,0
2018-03-28,169443,1,1,0
2018-02-27,169443,1,1,0
2018-02-12,169443,2,2,0
2018-04-02,169443,1,1,0
2018-02-23,169443,1,1,0
2018-04-13,169443,1,1,0
2018-03-19,169443,1,1,0
2018-04-14,169443,1,1,0
2018-02-20,169443,1,1,0
2018-04-04,240493,1,1,0
2018-03-31,226856,1,1,0
2018-03-21,226856,1,1,0
2018-03-02,371776,1,1,0
2018-02-08,371776,1,0,0
2018-04-03,304636,1,1,0
2018-03-01,215927,1,1,0
2018-03-20,215927,1,1,0
2018-02-24,215927,1,1,0
2018-03-06,215927,1,1,0
2018-02-21,215927,1,1,0
2018-02-26,215927,1,1,0
2018-03-03,215927,1,1,0
2018-04-05,215927,1,1,0
2018-03-17,215927,3,3,0
2018-04-12,215927,1,0,0
2018-03-04,215927,1,1,0
2018-03-22,215927,1,1,0
2018-02-04,215927,1,1,0
2018-03-31,215927,1,1,0
2018-02-27,215927,2,2,0
2018-03-12,215927,1,1,0
2018-02-10,215927,1,1,0
2018-03-16,215927,3,3,0
2018-02-20,215927,1,1,0
2018-02-19,215927,1,1,0
2018-02-15,215927,1,1,0
2018-04-11,215927,1,1,0
2018-04-06,215927,2,2,0
2018-02-22,215927,1,1,0
2018-03-09,215927,1,1,0
2018-02-27,79168,1,1,0
2018-03-18,79168,1,1,0
2018-03-15,79168,1,1,0
2018-02-16,79168,1,1,0
2018-02-12,79168,1,1,0
2018-03-09,79168,1,1,0
2018-03-15,369289,2,2,0
2018-03-21,369289,2,2,0
2018-02-15,369289,7,7,0
2018-03-25,369289,1,1,0
2018-02-18,369289,2,2,0
2018-03-19,369289,3,3,0
2018-02-13,369289,7,5,0
2018-03-26,369289,1,1,0
2018-02-07,369289,14,13,1
2018-03-13,369289,2,2,0
2018-03-16,369289,1,0,1
2018-02-12,369289,7,7,0
2018-02-10,369289,11,11,0
2018-03-30,369289,1,1,0
2018-02-04,369289,32,31,1
2018-02-23,369289,8,8,0
2018-03-01,369289,4,4,0
2018-02-24,369289,17,17,0
2018-02-16,369289,1,1,0
2018-02-28,369289,3,2,1
2018-02-05,369289,29,28,0
2018-03-22,369289,1,1,0
2018-02-14,369289,3,3,0
2018-02-27,369289,7,6,0
2018-02-08,369289,9,9,0
2018-02-17,369289,5,5,0
2018-02-22,369289,4,4,0
2018-03-17,369289,3,3,0
2018-03-14,369289,1,1,0
2018-03-23,369289,1,1,0
2018-03-20,369289,2,2,0
2018-02-09,369289,16,16,0
2018-02-02,369289,27,27,0
2018-03-24,369289,1,1,0
2018-02-11,369289,5,5,0
2018-03-18,369289,4,3,0
2018-02-03,369289,22,20,1
2018-02-25,369289,3,3,0
2018-03-04,369289,5,3,2
2018-03-29,369289,1,1,0
2018-03-10,369289,2,2,0
2018-02-26,369289,5,5,0
2018-02-01,369289,49,48,1
2018-03-08,369289,2,2,0
2018-02-21,369289,2,2,0
2018-03-06,369289,2,2,0
2018-02-20,369289,1,1,0
2018-03-07,369289,2,2,0
2018-03-03,369289,4,4,0
2018-03-27,369289,2,2,0
2018-02-06,369289,17,17,0
2018-03-05,369289,3,3,0
2018-02-19,369289,3,3,0
2018-03-20,373109,1,1,0
2018-02-05,373109,1,1,0
2018-02-23,373109,1,1,0
2018-02-09,373109,2,2,0
2018-02-08,373109,2,2,0
2018-03-13,373109,1,1,0
2018-02-28,373109,1,1,0
2018-04-11,373109,1,1,0
2018-03-10,373109,1,1,0
2018-02-02,373109,3,3,0
2018-02-12,375261,12,12,0
2018-03-11,375261,27,25,0
2018-03-27,375261,5,5,0
2018-02-13,375261,15,15,0
2018-03-28,375261,6,6,0
2018-03-04,375261,13,12,0
2018-02-18,375261,5,5,0
2018-04-01,375261,18,18,0
2018-02-25,375261,9,8,0
2018-04-04,375261,6,6,0
2018-03-17,375261,16,15,0
2018-02-23,375261,7,6,1
2018-02-03,375261,24,24,0
2018-02-28,375261,17,17,0
2018-04-11,375261,18,17,0
2018-02-07,375261,20,19,0
2018-03-29,375261,15,15,0
2018-04-07,375261,11,11,0
2018-03-20,375261,11,11,0
2018-04-09,375261,11,10,1
2018-03-22,375261,13,13,0
2018-04-03,375261,12,11,0
2018-02-14,375261,6,6,0
2018-03-31,375261,12,11,0
2018-02-05,375261,40,38,2
2018-03-12,375261,36,36,0
2018-04-13,375261,19,18,1
2018-03-19,375261,20,20,0
2018-03-05,375261,10,10,0
2018-04-14,375261,9,8,0
2018-02-01,375261,20,20,0
2018-02-10,375261,19,19,0
2018-04-05,375261,13,12,0
2018-03-02,375261,7,7,0
2018-02-08,375261,30,30,0
2018-04-06,375261,8,8,0
2018-03-23,375261,11,11,0
2018-02-11,375261,19,18,0
2018-03-03,375261,6,6,0
2018-03-25,375261,11,11,0
2018-03-16,375261,16,15,0
2018-03-24,375261,18,18,0
2018-03-30,375261,19,18,0
2018-02-04,375261,18,18,0
2018-04-12,375261,16,16,0
2018-02-20,375261,5,5,0
2018-03-07,375261,6,6,0
2018-02-02,375261,14,13,1
2018-04-15,375261,10,9,1
2018-02-19,375261,6,6,0
2018-04-02,375261,11,10,0
2018-02-22,375261,11,8,0
2018-03-09,375261,11,10,0
2018-02-06,375261,36,34,1
2018-03-21,375261,14,14,0
2018-04-08,375261,8,8,0
2018-02-21,375261,8,7,0
2018-03-08,375261,17,17,0
2018-03-15,375261,14,14,0
2018-03-06,375261,15,15,0
2018-03-10,375261,11,11,0
2018-03-01,375261,12,10,0
2018-03-18,375261,20,18,0
2018-02-24,375261,14,14,0
2018-03-26,375261,11,11,0
2018-02-17,375261,5,5,0
2018-03-13,375261,30,29,0
2018-02-15,375261,3,3,0
2018-02-16,375261,3,3,0
2018-02-26,375261,12,11,0
2018-02-09,375261,18,17,1
2018-02-27,375261,14,14,0
2018-04-10,375261,8,8,0
2018-03-14,375261,28,28,0
2018-04-08,285678,2,2,0
2018-03-29,285678,4,4,0
2018-03-17,285678,1,1,0
2018-03-01,285678,1,1,0
2018-02-08,285678,2,1,1
2018-04-07,285678,3,3,0
2018-03-10,285678,1,1,0
2018-03-26,285678,1,1,0
2018-03-05,285678,1,1,0
2018-04-10,285678,2,2,0
2018-04-15,285678,2,2,0
2018-02-11,285678,1,1,0
2018-04-11,285678,3,2,0
2018-04-14,285678,1,1,0
2018-02-14,285678,2,1,0
2018-04-01,285678,4,3,0
2018-02-06,285678,1,1,0
2018-02-10,285678,3,3,0
2018-03-27,285678,2,2,0
2018-04-12,285678,2,2,0
2018-03-31,285678,7,7,0
2018-02-05,285678,2,2,0
2018-03-25,285678,1,1,0
2018-03-30,285678,9,9,0
2018-04-04,285678,7,6,0
2018-04-03,285678,3,3,0
2018-03-28,285678,3,3,0
2018-04-06,285678,3,3,0
2018-04-09,285678,4,3,0
2018-04-02,285678,9,8,1
2018-04-13,285678,1,1,0
2018-03-08,285678,2,2,0
2018-04-05,285678,5,5,0
2018-04-07,208809,2,1,1
2018-02-06,208809,1,1,0
2018-04-10,208809,1,1,0
2018-03-28,208809,3,3,0
2018-04-15,208809,2,2,0
2018-04-06,208809,1,1,0
2018-03-26,208809,3,3,0
2018-04-14,208809,1,1,0
2018-04-02,208809,2,2,0
2018-03-30,208809,2,2,0
2018-02-04,208809,1,1,0
2018-03-31,208809,2,2,0
2018-02-11,208809,1,1,0
2018-03-29,208809,2,2,0
2018-02-24,208809,1,1,0
2018-03-27,208809,4,4,0
2018-04-09,208809,1,1,0
2018-03-01,176186,2,2,0
2018-04-14,176186,1,1,0
2018-02-08,176186,1,0,1
2018-02-22,176186,1,1,0
2018-03-04,176186,1,1,0
2018-03-30,176186,2,2,0
2018-04-06,176186,2,2,0
2018-02-10,176186,1,1,0
2018-02-14,176186,2,1,0
2018-04-02,176186,1,1,0
2018-02-07,176186,1,1,0
2018-03-19,176186,1,1,0
2018-04-03,176186,1,1,0
2018-02-25,14325,1,1,0
2018-03-05,14325,1,1,0
2018-03-24,14325,1,1,0
2018-04-13,14325,1,0,1
2018-03-31,14325,1,1,0
2018-02-08,230225,1,1,0
2018-02-09,230225,1,1,0
2018-02-07,230225,1,1,0
2018-02-05,230225,1,1,0
2018-02-09,192796,2,2,0
2018-04-08,192796,1,1,0
2018-03-05,192796,1,1,0
2018-03-29,192796,1,0,0
2018-04-07,192796,2,2,0
2018-02-13,192796,1,1,0
2018-02-28,192796,1,1,0
2018-03-24,192796,1,1,0
2018-02-19,192796,1,1,0
2018-04-02,192796,2,2,0
2018-03-06,192796,2,2,0
2018-03-15,192796,1,1,0
2018-03-25,192796,1,1,0
2018-03-21,192796,1,1,0
2018-03-02,192796,1,1,0
2018-02-22,192796,1,1,0
2018-03-09,192796,1,1,0
2018-03-30,192796,1,1,0
2018-02-25,192796,1,1,0
2018-04-04,192796,3,3,0
2018-03-12,192796,2,2,0
2018-03-27,192796,3,3,0
2018-03-22,192796,1,1,0
2018-04-03,192796,1,1,0
2018-02-01,192796,2,2,0
2018-03-31,192796,2,2,0
2018-03-10,192796,1,1,0
2018-03-30,111806,2,2,0
2018-03-15,111806,4,4,0
2018-04-03,111806,8,8,0
2018-03-12,111806,1,1,0
2018-03-24,111806,1,1,0
2018-03-06,111806,10,10,0
2018-03-08,111806,4,4,0
2018-02-21,111806,7,7,0
2018-03-26,111806,3,3,0
2018-03-11,111806,3,3,0
2018-04-11,111806,52,49,1
2018-02-28,111806,4,4,0
2018-04-06,111806,3,3,0
2018-03-03,111806,5,5,0
2018-02-23,111806,2,2,0
2018-02-26,111806,7,7,0
2018-02-09,111806,5,5,0
2018-02-08,111806,2,2,0
2018-03-07,111806,5,5,0
2018-02-20,111806,3,3,0
2018-02-10,111806,5,5,0
2018-04-05,111806,7,7,0
2018-03-27,111806,5,5,0
2018-03-05,111806,4,4,0
2018-02-13,111806,4,4,0
2018-02-25,111806,6,6,0
2018-02-05,111806,8,8,0
2018-03-31,111806,2,2,0
2018-04-13,111806,29,29,0
2018-03-22,111806,1,1,0
2018-04-09,111806,5,5,0
2018-03-13,111806,5,5,0
2018-04-15,111806,23,23,0
2018-02-02,111806,12,12,0
2018-03-10,111806,3,3,0
2018-02-14,111806,1,1,0
2018-02-06,111806,4,4,0
2018-02-22,111806,2,2,0
2018-03-09,111806,8,7,1
2018-03-23,111806,6,6,0
2018-03-04,111806,3,3,0
2018-02-15,111806,1,1,0
2018-04-10,111806,29,27,2
2018-02-27,111806,10,10,0
2018-04-02,111806,24,23,0
2018-02-19,111806,2,2,0
2018-04-12,111806,38,34,1
2018-03-20,111806,5,5,0
2018-04-07,111806,15,14,1
2018-02-01,111806,6,6,0
2018-04-14,111806,24,23,1
2018-02-11,111806,3,3,0
2018-02-12,111806,3,3,0
2018-03-21,111806,5,5,0
2018-04-08,111806,10,10,0
2018-02-03,111806,9,9,0
2018-03-16,111806,4,4,0
2018-03-25,111806,2,2,0
2018-02-16,111806,1,1,0
2018-02-24,111806,2,2,0
2018-03-02,111806,5,5,0
2018-03-17,111806,7,7,0
2018-03-18,111806,5,5,0
2018-04-04,111806,12,12,0
2018-02-17,111806,1,1,0
2018-03-01,111806,4,3,1
2018-03-19,111806,3,3,0
2018-02-04,111806,10,10,0
2018-04-01,111806,13,13,0
2018-02-07,111806,9,8,0
2018-03-14,111806,2,2,0
2018-03-31,145661,8,7,1
2018-04-08,145661,2,1,0
2018-04-04,145661,3,3,0
2018-03-29,145661,17,17,0
2018-04-12,145661,5,4,1
2018-03-19,145661,1,1,0
2018-03-05,145661,1,1,0
2018-04-01,145661,7,7,0
2018-02-24,145661,1,1,0
2018-04-13,145661,3,3,0
2018-03-16,145661,2,2,0
2018-03-01,145661,2,2,0
2018-02-11,145661,1,1,0
2018-04-07,145661,1,1,0
2018-04-10,145661,4,4,0
2018-03-07,145661,1,1,0
2018-03-09,145661,1,1,0
2018-02-15,145661,1,1,0
2018-03-11,145661,1,1,0
2018-03-27,145661,13,12,0
2018-04-09,145661,7,7,0
2018-02-28,145661,1,1,0
2018-03-30,145661,15,13,2
2018-02-04,145661,2,2,0
2018-02-06,145661,2,2,0
2018-02-12,145661,1,1,0
2018-04-14,145661,5,5,0
2018-03-02,145661,1,1,0
2018-03-03,145661,1,1,0
2018-02-02,145661,1,1,0
2018-04-15,145661,4,4,0
2018-03-28,145661,11,9,1
2018-02-10,145661,1,1,0
2018-02-26,145661,2,2,0
2018-02-07,145661,1,1,0
2018-04-02,145661,4,4,0
2018-02-09,145661,1,1,0
2018-04-05,145661,4,4,0
2018-04-03,145661,10,10,0
2018-04-14,21420,2,2,0
2018-04-13,21420,3,3,0
2018-03-01,21420,1,1,0
2018-02-27,21420,1,1,0
2018-04-10,21420,2,2,0
2018-04-06,21420,5,5,0
2018-04-01,21420,5,5,0
2018-03-27,21420,1,1,0
2018-02-01,21420,1,1,0
2018-03-26,21420,1,1,0
2018-04-04,21420,4,4,0
2018-02-21,21420,1,1,0
2018-02-09,21420,1,1,0
2018-04-03,21420,4,4,0
2018-04-02,21420,4,4,0
2018-03-31,21420,11,11,0
2018-04-12,21420,4,4,0
2018-03-30,21420,1,1,0
2018-02-04,21420,1,1,0
2018-03-04,21420,1,1,0
2018-02-10,21420,1,1,0
2018-04-11,21420,5,4,0
2018-02-28,21420,1,1,0
2018-03-14,21420,2,2,0
2018-04-07,21420,5,4,0
2018-02-15,21420,1,0,1
2018-04-15,21420,4,2,1
2018-04-08,21420,1,1,0
2018-02-10,157022,1,1,0
2018-03-06,157022,1,1,0
2018-04-05,157022,1,1,0
2018-02-04,157022,2,2,0
2018-03-12,157022,1,1,0
2018-03-17,157022,1,1,0
2018-02-05,157022,1,1,0
2018-03-07,157022,1,1,0
2018-03-22,157022,1,1,0
2018-04-09,157022,1,1,0
2018-02-09,82843,7,7,0
2018-02-04,82843,7,7,0
2018-03-05,82843,3,3,0
2018-03-28,82843,7,6,0
2018-03-13,82843,4,4,0
2018-02-11,82843,7,6,1
2018-02-16,82843,3,3,0
2018-03-16,82843,5,5,0
2018-02-23,82843,4,4,0
2018-03-08,82843,9,9,0
2018-02-21,82843,4,4,0
2018-03-12,82843,4,4,0
2018-02-03,82843,6,6,0
2018-04-15,82843,5,5,0
2018-02-02,82843,10,10,0
2018-04-04,82843,5,5,0
2018-04-07,82843,7,6,0
2018-03-20,82843,4,3,0
2018-02-15,82843,4,4,0
2018-02-10,82843,6,6,0
2018-02-07,82843,7,7,0
2018-03-25,82843,1,1,0
2018-04-06,82843,4,4,0
2018-03-04,82843,7,7,0
2018-02-24,82843,5,5,0
2018-03-31,82843,11,10,0
2018-02-05,82843,8,8,0
2018-03-15,82843,6,5,0
2018-02-25,82843,3,2,0
2018-03-26,82843,7,7,0
2018-03-03,82843,4,4,0
2018-04-14,82843,5,5,0
2018-02-01,82843,9,9,0
2018-03-19,82843,5,5,0
2018-02-27,82843,8,8,0
2018-04-10,82843,5,5,0
2018-02-17,82843,2,2,0
2018-03-30,82843,13,13,0
2018-02-08,82843,6,6,0
2018-02-14,82843,5,5,0
2018-03-18,82843,3,3,0
2018-04-09,82843,5,5,0
2018-03-22,82843,7,7,0
2018-02-26,82843,5,4,0
2018-04-05,82843,5,5,0
2018-03-11,82843,10,9,1
2018-02-22,82843,4,3,0
2018-03-09,82843,10,10,0
2018-03-06,82843,8,8,0
2018-04-08,82843,3,3,0
2018-03-21,82843,4,4,0
2018-03-07,82843,7,6,1
2018-02-20,82843,3,3,0
2018-02-12,82843,8,7,1
2018-03-27,82843,7,7,0
2018-04-13,82843,5,5,0
2018-04-01,82843,6,6,0
2018-02-18,82843,2,2,0
2018-02-19,82843,6,6,0
2018-04-02,82843,11,11,0
2018-03-14,82843,3,3,0
2018-04-11,82843,3,3,0
2018-02-28,82843,2,2,0
2018-02-13,82843,10,10,0
2018-03-01,82843,5,5,0
2018-03-23,82843,5,4,1
2018-02-06,82843,11,10,1
2018-04-12,82843,4,3,0
